KSP Date,IRL Date,Launch Vehicle,Mission / Payload,Contract / Mission,Crew,Result,Notes
1951 Feb 11,2024 Feb 5,ATP-100,,First Launch,Vitali Golubev,Success,"Almost did a once around on landing for fun, listening to Casey Handmer"
1951 Aug 10,2024 Feb 5,ATP-110,,Break the Sound Barrier (Crewed),Vitali Golubev,Catastrophic Failure,"Failure, went into a flat spin, Mikhail Golubov dead"
1952 Jan 10,2024 Feb 5,Humboldt-1,,Karman Line,,Success,"A4 cutoff at 109s, RCS couldn't control attitude, 500m full deploy"
1952 Apr 14,2024 Feb 5,ATP-120,,Break the Sound Barrier (Crewed),Craig Coleman,Failure,"Switched J35 engine, severelly under-powered, barely able to turn, crash landing into water trying to save plane, luckily no deaths, engine and wings broken, converting to ATP-130 was 0% original so useless recovery"
1952 May 21,2024 Feb 6,Humboldt-1,,Reach a Suborbital Trajectory & Return (uncrewed),,Partial Failure,"Launch Site atop VAB, A4 explosion at 90 seconds, decoupled payload and fell behind rocket on ascent, 300m deploy, 150m full deploy"
1952 Jul 5,2024 Feb 6,ATP-130,,Break the Sound Barrier (Crewed),Craig Coleman,Partial Failure,"First sim was test, COL too far forward - second one was too close at airlaunch and too little thrust"
1952 Aug 5,2024 Feb 6,ATP-135,,Break the Sound Barrier (Crewed),Craig Coleman,Catastrophic Failure,"Still not enough thrust, hard landing led to explosion"
1952 Sep 24,2024 Feb 6,Humboldt-1,,Reach a Suborbital Trajectory & Return (uncrewed),,Success,"Second attempt, never again revert, A4 110s burn, contract finally complete"
1952 Nov 24,2024 Feb 8,ATP-140,,Break the Sound Barrier (Crewed),Daniel Bauer,Success,"Beautiful! Great trajectory, off path at first but beautiful realignment, 15km ap, 80km downrange"
1952 Dec 23,2024 Feb 8,ATP-145,,Experimental Rocketplanes - Optional (20km),Daniel Bauer,Success,Another Success!
1953 Oct 27,2024 Feb 8,Humboldt-2,,Downrange Distance LV Development (Difficult),,Success,Bad Trajectory revert
1954 Mar 4,2024 Feb 8,ATP-145,,Mach 1 Science Flight,Daniel Bauer,Failure,"Parachute deployed before airlaunch check your staging, Only ~20 seconds of science, slightly off prograde landing led to a skip and to destruction of the aircraft, Bauer ejected at ~50m/s when the plane was perpendicular with the run way"
1954 Aug 18,2024 Feb 8,ATP-200,,Experimental Rocketplanes - Optional (28km),Daniel Bauer,Success,"30km, beautiful trajectory from principia, mach 1 science is not ideal"
1954 Aug 26,2024 Feb 8,Humboldt-3,,Downrange Milestone (3000km),,Success,"Absolutely Perfect Launch, Loss of thrust on A4 at 96 seconds, 200km ap"
1954 Sep 19,2024 Feb 10,ATP-200,,Experimental Rocketplanes - Optional,Daniel Bauer,Success,"~28km ap, anxious landing with lots of velocity on approach and s-turn, successful"
1955 Jan 5,2024 Feb 10,Humboldt-2B,,Downrange Distance LV Development (Difficult),,Failure,"Vehicle was 21.5t on liftoff, 20t is max avionics, flew towards the city at impacted at 586m/s 18km downrange, uprange?, Range Danger officer reporting for duty"
1955 May 8,2024 Feb 10,Humboldt-3B,,Downrange Milestone (5000km),,Success,"Perfect first stage burn, alignment stage went ~100 degree off at first, RCS corrected, 616km downrange at cutoff, 230km ap, perfect!"
1955 Aug 30,2024 Feb 10,ATP-200,,X-Planes High Altitude (40km),Daniel Bauer,Success,"50km ap, 170km downrange, overshot over land, perfect landing!"
1955 Dec 10,2024 Feb 10,ATP-210,,X-Planes High Altitude - Optional (55km),Daniel Bauer,Failure,"56km ap, 220km downrange, flat spin on reentry at 7g's, engine restart to try to get to KSC, Failed landing on ground, go for water next time, Bauer ejected"
1955 Dec 21,2024 Feb 10,Humboldt-4B,,First Artificial Satellite,,Failure,"85t vehicle above 80t avionics, rough pitch on takeoff but it corrected, then slosh apparently shut down 3 engines, spin until destruction"
1956 Apr 26,2024 Feb 11,ATP-300,,X-Planes Low Supersonic (Optional),Daniel Bauer,Success,"Tough to stay at +/- 10m/s, 430 +/- 30 m/s"
1956 May 5,2024 Feb 11,Humboldt-4B,,First Artificial Satellite,,Success,"Perfect first stage burn,  1885x190 km, need to do 0 degrees, started burn at -110m/s vertical with 206km ap"
1956 May 21,2024 Feb 11,ATP-300,,X-Planes Low Supersonic (Optional),Daniel Bauer,Success,"Went past the end of the runway again, parachute may be needed"
1956 Aug 5,2024 Feb 11,Humboldt-2B,,Science Flight w/ Advanced Biological,,Success,"Engine failure at end of burn, otherwise successful"
1956 Aug 9,2024 Feb 11,ATP-300,,X-Planes (Mach 2 Supersonic),Daniel Bauer,Success,"Low fuel, took ages, but got it done and landed slow"
1956 Sep 28,2024 Feb 11,Humboldt-4B,,First Polar Orbit Satellite,,Success,"170x300, stressful final burn, perfect first stage as well"
1956 Oct 16,2024 Feb 11,ATP-300,,Science Flight Mach 2 Science,Daniel Bauer,Success,"Depleted science, must do 2 more flights"
1956 Nov 3,2024 Feb 11,Humboldt-2C,,Science Flight w/ Biological,,Success,"Added side boosters to not cheat mass requirement, RCS tank burned up during reentry at 2500m/s"
1956 Nov 12,2024 Feb 11,ATP-300,,Science Flight Mach 2 Science,Daniel Bauer,Success,Second of three
1956 Dec 4,2024 Feb 11,ATP-300,,Science Flight Mach 2 Science,Daniel Bauer,Success,"Three of three, perfect success with the ATP-300!"
1956 Dec 26,2024 Feb 11,ATP-300,,Science Flight Mach 1 Science,Daniel Bauer,Failure,"Premature Ejection on landing, should've attempted to correct longer but oh well, Bauer is alive what is another $3k"
1957 Jan 23,2024 Feb 12,Humboldt-2C,,Science Flight w/ Biological,,Success,"Tool to get temperture on surface, "
1957 Feb 18,2024 Feb 12,Humboldt-4C,,First Scientific Satellite,,Failure,"89t rocket on 80t of avionics, engine loss of thrust on takeoff led to pitch, would've corrected without the engine loss of thrust"
1957 Mar 15,2024 Feb 12,ATP-300,,Science Flight Mach 1 Science,Daniel Bauer,Success,Kimbal
