Apollo
Apollo 7, 1968-10-11, 1968-10-22
Apollo 8, 1968-12-21, 1968-12-27
Apollo 9, 1969-03-03, 1969-03-13
Apollo 10, 1969-05-18, 1969-05-26
Apollo 11, 1969-07-16, 1969-07-24
Apollo 12, 1969-11-14, 1969-11-24
Apollo 13, 1970-04-11, 1970-04-17
Apollo 14, 1971-01-31, 1971-02-09
Apollo 15, 1971-07-26, 1971-08-07
Apollo 16, 1972-04-16, 1972-04-27
Apollo 17, 1972-12-07, 1972-12-19
Skylab 2, 1973-05-25, 1973-06-22
Skylab 3, 1973-07-28, 1973-09-25
Skylab 4, 1973-11-16, 1974-02-08
Apollo ASTP, 1975-07-15, 1975-07-24

Dragon
Dragon DM-2, 2020-05-30, 2020-08-02
Dragon Crew-1, 2020-11-16, 2021-05-02
Dragon Crew-2, 2021-04-23, 2021-11-09
Inspiration4, 2021-09-16, 2021-09-18
Dragon Crew-3, 2021-11-11, 2022-05-06
Axiom Ax-1, 2022-04-08, 2022-04-25
Dragon Crew-4, 2022-04-27, 2022-10-14
Dragon Crew-5, 2022-10-05, 2023-03-12
Dragon Crew-6, 2023-03-02, 2023-09-04
Axiom Ax-2, 2023-05-21, 2023-05-31
Dragon Crew-7, 2023-08-26, 2024-03-12
Axiom Ax-3, 2024-01-18, 2024-02-09
Dragon Crew-8, 2024-03-04, 2024-10-25
Polaris Dawn, 2024-09-10, 2024-09-15
Dragon Crew-9, 2024-09-28, 2025-03-18
Dragon Crew-10, 2025-03-14, 2025-08-09
Fram-2, 2025-04-01, 2025-04-04
Axiom Ax-4, 2025-06-25, 2025-07-15

Gemini
Gemini III, 1965-03-23, 1965-03-23
Gemini IV, 1965-06-03, 1965-06-07
Gemini V, 1965-08-21, 1965-08-29
Gemini VII, 1965-12-04, 1965-12-18
Gemini VI-A, 1965-12-15, 1965-12-16
Gemini VIII, 1966-03-16, 1966-03-17
Gemini IX-A, 1966-06-03, 1966-06-06
Gemini X, 1966-07-18, 1966-07-21
Gemini XI, 1966-09-12, 1966-09-15
Gemini XII, 1966-11-11, 1966-11-15

Mercury
MA-5, 1961-11-29, 1961-11-29
Friendship Seven, 1962-02-20, 1962-02-20
Aurora Seven, 1962-05-24, 1962-05-24
Sigma Seven, 1962-10-03, 1962-10-03
Faith Seven, 1963-05-15, 1963-05-16

Shenzhou
Shenzhou 6, 2005-10-12, 2005-10-16
Shenzhou 7, 2008-09-25, 2008-09-28
Shenzhou 9, 2012-06-16, 2012-06-29
Shenzhou 10, 2013-06-11, 2013-06-26
Shenzhou 11, 2016-10-16, 2016-11-18
Shenzhou 12, 2021-06-17, 2021-09-17
Shenzhou 13, 2021-10-15, 2022-04-16
Shenzhou 14, 2022-06-05, 2022-12-04
Shenzhou 15, 2022-11-29, 2023-06-03
Shenzhou 16, 2023-05-30, 2023-10-31
Shenzhou 17, 2023-10-26, 2024-04-30
Shenzhou 18, 2024-04-25, 2024-11-03
Shenzhou 19, 2024-10-29, 2025-04-30

Soyuz
Soyuz 1, 1967-04-23, 1967-04-24
Soyuz-3, 1968-10-26, 1968-10-30
Soyuz-4, 1969-01-14, 1969-01-17
Soyuz-5, 1969-01-15, 1969-01-18
Soyuz-6, 1969-10-11, 1969-10-16
Soyuz-7, 1969-10-12, 1969-10-17
Soyuz-8, 1969-10-13, 1969-10-18
Soyuz-9, 1970-06-01, 1970-06-19
Soyuz-10, 1971-04-22, 1971-04-24
Soyuz-11, 1971-06-06, 1971-06-29
Soyuz-12, 1973-09-27, 1973-09-29
Soyuz-13, 1973-12-18, 1973-12-26
Soyuz-14, 1974-07-03, 1974-07-19
Soyuz-15, 1974-08-26, 1974-08-28
Soyuz-16, 1974-12-02, 1974-12-08
Soyuz-17, 1975-01-10, 1975-02-09
Soyuz-18, 1975-05-24, 1975-07-26
Soyuz-19, 1975-07-15, 1975-07-21
Soyuz-21, 1976-07-06, 1976-08-24
Soyuz-22, 1976-09-15, 1976-09-23
Soyuz-23, 1976-10-14, 1976-10-16
Soyuz-24, 1977-02-07, 1977-02-25
Soyuz-25, 1977-10-09, 1977-10-11
Soyuz-26, 1977-12-10, 1978-01-16
Soyuz-27, 1978-01-10, 1978-03-16
Soyuz-28, 1978-03-02, 1978-03-10
Soyuz-29, 1978-06-15, 1978-09-03
Soyuz-30, 1978-06-27, 1978-07-05
Soyuz-31, 1978-08-26, 1978-11-02
Soyuz-32, 1979-02-25, 1979-06-13
Soyuz-33, 1979-04-10, 1979-04-12
Soyuz-35, 1980-04-09, 1980-06-03
Soyuz-36, 1980-05-26, 1980-07-31
Soyuz T-2, 1980-06-05, 1980-06-09
Soyuz-37, 1980-07-23, 1980-10-11
Soyuz-38, 1980-09-18, 1980-09-26
Soyuz T-3, 1980-11-27, 1980-12-10
Soyuz T-4, 1981-03-12, 1981-05-26
Soyuz-39, 1981-03-22, 1981-03-30
Soyuz-40, 1981-05-14, 1981-05-22
Soyuz T-5, 1982-05-13, 1982-08-27
Soyuz T-6, 1982-06-24, 1982-07-02
Soyuz T-7, 1982-08-19, 1982-12-10
Soyuz T-8, 1983-04-20, 1983-04-22
Soyuz T-9, 1983-06-27, 1983-11-23
Soyuz T-10, 1984-02-08, 1984-04-11
Soyuz T-11, 1984-04-03, 1984-10-02
Soyuz T-12, 1984-07-17, 1984-07-29
Soyuz T-13, 1985-06-06, 1985-09-26
Soyuz T-14, 1985-09-17, 1985-11-21
Soyuz T-15, 1986-03-13, 1986-07-16
Soyuz TM-2, 1987-02-05, 1987-07-30
Soyuz TM-3, 1987-07-22, 1987-12-29
Soyuz TM-4, 1987-12-21, 1988-06-17
Soyuz TM-5, 1988-06-07, 1988-09-07
Soyuz TM-6, 1988-08-29, 1988-12-21
Soyuz TM-7, 1988-11-26, 1989-04-27
Soyuz TM-8, 1989-09-05, 1990-02-19
Soyuz TM-9, 1990-02-11, 1990-08-09
Soyuz TM-10, 1990-08-01, 1990-12-10
Soyuz TM-11, 1990-12-02, 1991-05-26
Soyuz TM-12, 1991-05-18, 1991-10-10
Soyuz TM-13, 1991-10-02, 1992-03-25
Soyuz TM-14, 1992-03-17, 1992-08-10
Soyuz TM-15, 1992-07-27, 1993-02-01
Soyuz TM-16, 1993-01-24, 1993-07-22
Soyuz TM-17, 1993-07-01, 1994-01-14
Soyuz TM-18, 1994-01-08, 1994-07-09
Soyuz TM-19, 1994-07-01, 1994-11-04
Soyuz TM-20, 1994-10-03, 1995-03-22
Soyuz TM-21, 1995-03-14, 1995-09-11
Soyuz TM-22, 1995-09-03, 1996-02-29
Soyuz TM-23, 1996-02-21, 1996-09-02
Soyuz TM-24, 1996-08-17, 1997-03-02
Soyuz TM-25, 1997-02-10, 1997-08-14
Soyuz TM-26, 1997-08-05, 1998-02-19
Soyuz TM-27, 1998-01-29, 1998-08-25
Soyuz TM-28, 1998-08-13, 1999-02-28
Soyuz TM-29, 1999-02-20, 1999-08-28
Soyuz TM-30, 2000-04-04, 2000-06-16
Soyuz TM-31, 2000-10-31, 2001-05-06
Soyuz TM-32, 2001-04-28, 2001-10-31
Soyuz TM-33, 2001-10-21, 2002-05-05
Soyuz TM-34, 2002-04-25, 2002-11-10
Soyuz TMA-1, 2002-10-30, 2003-05-04
Soyuz TMA-2, 2003-04-26, 2003-10-28
Soyuz TMA-3, 2003-10-18, 2004-04-30
Soyuz TMA-4, 2004-04-19, 2004-10-24
Soyuz TMA-5, 2004-10-14, 2005-04-24
Soyuz TMA-6, 2005-04-15, 2005-10-11
Soyuz TMA-7, 2005-10-01, 2006-04-08
Soyuz TMA-8, 2006-03-30, 2006-09-29
Soyuz TMA-9, 2006-09-18, 2007-04-21
Soyuz TMA-10, 2007-04-07, 2007-10-21
Soyuz TMA-11, 2007-10-10, 2008-04-19
Soyuz TMA-12, 2008-04-08, 2008-10-24
Soyuz TMA-13, 2008-10-12, 2009-04-08
Soyuz TMA-14, 2009-03-26, 2009-10-11
Soyuz TMA-15, 2009-05-27, 2009-12-01
Soyuz TMA-16, 2009-09-30, 2010-03-17
Soyuz TMA-17, 2009-12-20, 2010-06-02
Soyuz TMA-18, 2010-04-02, 2010-09-25
Soyuz TMA-19, 2010-06-15, 2010-11-26
Soyuz TMA-01M, 2010-10-07, 2011-03-16
Soyuz TMA-20, 2010-12-15, 2011-05-24
Soyuz TMA-21, 2011-04-04, 2011-09-16
Soyuz TMA-02M, 2011-06-07, 2011-11-22
Soyuz TMA-22, 2011-11-14, 2012-04-27
Soyuz TMA-03M, 2011-12-21, 2012-07-01
Soyuz TMA-04M, 2012-05-15, 2012-09-17
Soyuz TMA-05M, 2012-07-15, 2012-11-19
Soyuz TMA-06M, 2012-10-23, 2013-03-16
Soyuz TMA-07M, 2012-12-19, 2013-05-14
Soyuz TMA-08M, 2013-03-28, 2013-09-11
Soyuz TMA-09M, 2013-05-28, 2013-11-11
Soyuz TMA-10M, 2013-09-25, 2014-03-11
Soyuz TMA-11M, 2013-11-07, 2014-05-14
Soyuz TMA-12M, 2014-03-25, 2014-09-11
Soyuz TMA-13M, 2014-05-28, 2014-11-10
Soyuz TMA-14M, 2014-09-25, 2015-03-12
Soyuz TMA-15M, 2014-11-23, 2015-06-11
Soyuz TMA-16M, 2015-03-27, 2015-09-12
Soyuz TMA-17M, 2015-07-22, 2015-12-11
Soyuz TMA-18M, 2015-09-02, 2016-03-02
Soyuz TMA-19M, 2015-12-15, 2016-06-18
Soyuz TMA-20M, 2016-03-18, 2016-09-07
Soyuz MS-01, 2016-07-07, 2016-10-30
Soyuz MS-02, 2016-10-19, 2017-04-10
Soyuz MS-03, 2016-11-17, 2017-06-02
Soyuz MS-04, 2017-04-20, 2017-09-03
Soyuz MS-05, 2017-07-28, 2017-12-14
Soyuz MS-06, 2017-09-12, 2018-02-28
Soyuz MS-07, 2017-12-17, 2018-06-03
Soyuz MS-08, 2018-03-21, 2018-10-04
Soyuz MS-09, 2018-06-06, 2018-12-20
Soyuz MS-11, 2018-12-03, 2019-06-25
Soyuz MS-12, 2019-03-14, 2019-10-03
Soyuz MS-13, 2019-07-20, 2020-02-06
Soyuz MS-15, 2019-09-25, 2020-04-17
Soyuz MS-16, 2020-04-09, 2020-10-22
Soyuz MS-17, 2020-10-14, 2021-04-17
Soyuz MS-18, 2021-04-09, 2021-10-17
Soyuz MS-19, 2021-10-05, 2022-03-30
Soyuz MS-20, 2021-12-08, 2021-12-20
Soyuz MS-21, 2022-03-18, 2022-09-29
Soyuz MS-22, 2022-09-21, 2023-03-28
Soyuz MS-24, 2023-09-15, 2024-04-06
Soyuz MS-25, 2024-03-23, 2024-09-23
Soyuz MS-26, 2024-09-11, 2025-04-20

Space Shuttle
Space Shuttle-1, 1981-04-12, 1981-04-14
Space Shuttle-2, 1981-11-12, 1981-11-14
Space Shuttle-3, 1982-03-22, 1982-03-30
Space Shuttle-4, 1982-06-27, 1982-07-04
Space Shuttle-5, 1982-11-11, 1982-11-16
Space Shuttle-6, 1983-04-04, 1983-04-09
Space Shuttle-7, 1983-06-18, 1983-06-24
Space Shuttle-8, 1983-08-30, 1983-09-05
Space Shuttle-9, 1983-11-28, 1983-12-08
Space Shuttle 41-B, 1984-02-03, 1984-02-11
Space Shuttle 41-C, 1984-04-06, 1984-04-13
Space Shuttle 41-D, 1984-08-30, 1984-09-05
Space Shuttle 41-G, 1984-10-05, 1984-10-13
Space Shuttle 51-A, 1984-11-08, 1984-11-16
Space Shuttle 51-C, 1985-01-24, 1985-01-27
Space Shuttle 51-D, 1985-04-12, 1985-04-19
Space Shuttle 51-B, 1985-04-29, 1985-05-06
Space Shuttle 51-G, 1985-06-17, 1985-06-24
Space Shuttle 51-F, 1985-07-29, 1985-08-06
Space Shuttle 51-I, 1985-08-27, 1985-09-03
Space Shuttle 51-J, 1985-10-03, 1985-10-07
Space Shuttle 61-A, 1985-10-30, 1985-11-06
Space Shuttle 61-B, 1985-11-27, 1985-12-03
Space Shuttle 61-C, 1986-01-12, 1986-01-18
Space Shuttle-26, 1988-09-29, 1988-10-03
Space Shuttle-27, 1988-12-02, 1988-12-06
Space Shuttle-29, 1989-03-13, 1989-03-18
Space Shuttle-30, 1989-05-04, 1989-05-08
Space Shuttle-28, 1989-08-08, 1989-08-13
Space Shuttle-34, 1989-10-18, 1989-10-23
Space Shuttle-33, 1989-11-23, 1989-11-28
Space Shuttle-32, 1990-01-09, 1990-01-20
Space Shuttle-36, 1990-02-28, 1990-03-04
Space Shuttle-31, 1990-04-24, 1990-04-29
Space Shuttle-41, 1990-10-06, 1990-10-10
Space Shuttle-38, 1990-11-15, 1990-11-20
Space Shuttle-35, 1990-12-02, 1990-12-11
Space Shuttle-37, 1991-04-05, 1991-04-11
Space Shuttle-39, 1991-04-28, 1991-05-06
Space Shuttle-40, 1991-06-05, 1991-06-14
Space Shuttle-43, 1991-08-02, 1991-08-11
Space Shuttle-48, 1991-09-12, 1991-09-18
Space Shuttle-44, 1991-11-24, 1991-12-01
Space Shuttle-42, 1992-01-22, 1992-01-30
Space Shuttle-45, 1992-03-24, 1992-04-02
Space Shuttle-49, 1992-05-07, 1992-05-16
Space Shuttle-50, 1992-06-25, 1992-07-09
Space Shuttle-46, 1992-07-31, 1992-08-08
Space Shuttle-47, 1992-09-12, 1992-09-20
Space Shuttle-52, 1992-10-22, 1992-11-01
Space Shuttle-53, 1992-12-02, 1992-12-09
Space Shuttle-54, 1993-01-13, 1993-01-19
Space Shuttle-56, 1993-04-08, 1993-04-17
Space Shuttle-55, 1993-04-26, 1993-05-06
Space Shuttle-57, 1993-06-21, 1993-07-01
Space Shuttle-51, 1993-09-12, 1993-09-22
Space Shuttle-58, 1993-10-18, 1993-11-01
Space Shuttle-61, 1993-12-02, 1993-12-13
Space Shuttle-60, 1994-02-03, 1994-02-11
Space Shuttle-62, 1994-03-04, 1994-03-18
Space Shuttle-59, 1994-04-09, 1994-04-20
Space Shuttle-65, 1994-07-08, 1994-07-23
Space Shuttle-64, 1994-09-09, 1994-09-20
Space Shuttle-68, 1994-09-30, 1994-10-11
Space Shuttle-66, 1994-11-03, 1994-11-14
Space Shuttle-63, 1995-02-03, 1995-02-11
Space Shuttle-67, 1995-03-02, 1995-03-18
Space Shuttle-71, 1995-06-27, 1995-07-07
Space Shuttle-70, 1995-07-13, 1995-07-22
Space Shuttle-69, 1995-09-07, 1995-09-18
Space Shuttle-73, 1995-10-20, 1995-11-05
Space Shuttle-74, 1995-11-12, 1995-11-20
Space Shuttle-72, 1996-01-11, 1996-01-20
Space Shuttle-75, 1996-02-22, 1996-03-09
Space Shuttle-76, 1996-03-22, 1996-03-31
Space Shuttle-77, 1996-05-19, 1996-05-29
Space Shuttle-78, 1996-06-20, 1996-07-07
Space Shuttle-79, 1996-09-16, 1996-09-26
Space Shuttle-80, 1996-11-19, 1996-12-07
Space Shuttle-81, 1997-01-12, 1997-01-22
